Gaultheria_shallon,0
Gaultheria_sinensis,1
Gaultheria_straminea,1
Gaultheria_suborbicularis,1
Gaultheria_tasmanica,0
Gaultheria_tetramera,1
Gaultheria_thymifolia,1
Gaultheria_trichophylla,0
Gaultheria_trigonoclada,NA
Gaultheria_wardii,1
Gaylussacia_dumosa,0
Gonocalyx_costaricensis,0
Gonocalyx_megabracteolatus,1
Harrimanella_hypnoides,0
Kalmia_angustifolia,0
Kalmia_buxifolia,0
Kalmia_hirsuta,0
Kalmia_latifolia,0
Kalmia_polifolia,0
Kalmia_procumbens,0
Kalmiopsis_fragrans,1
Kalmiopsis_leachiana,1
Lebetanthus_myrsinites,0
Ledothamnus_guyanensis,1
Ledothamnus_sessiliflorus,NA
Leptecophylla_abietina,0
Leptecophylla_divaricata,0
Leptecophylla_juniperina_subsp_oxycedrus,0
Leptecophylla_tameiameiae,0
Leucopogon_allittii,0
Leucopogon_alternifolius,0
Leucopogon_amplexicaulis,0
Leucopogon_apiculatus,0
Leucopogon_appressus,0
Leucopogon_assimilis,0
Leucopogon_australis,0
Leucopogon_blepharolepis,0
Leucopogon_bossiaea,0
Leucopogon_concinnus,0
Leucopogon_conostephioides,0
Leucopogon_cordatus,0
Leucopogon_cordifolius,0
Leucopogon_corynocarpus,0
Leucopogon_crassiflorus,0
Leucopogon_crassifolius,0
Leucopogon_cymbiformis,0
Leucopogon_distans,0
Leucopogon_ericoides,0
Leucopogon_esquamatus,0
Leucopogon_fraseri,0
Leucopogon_glaucifolius,0
Leucopogon_hispidus,0
Leucopogon_juniperinus,0
Leucopogon_lanceolatus,0
Leucopogon_leptanthus,0
Leucopogon_leptospermoides,0
Leucopogon_margarodes,0
Leucopogon_melaleucoides,0
Leucopogon_microphyllus,0
Leucopogon_muticus,0
Leucopogon_nutans,0
Leucopogon_obtectus,0
Leucopogon_ovalifolius,0
Leucopogon_oxycedrus,0
Leucopogon_parviflorus,0
Leucopogon_pendulus,0
Leucopogon_plumuliflorus,0
Leucopogon_pluriloculatus,0
Leucopogon_pogonocalyx,0
Leucopogon_pubescens,0
Leucopogon_racemulosus,0
Leucopogon_rotundifolius,0
Leucopogon_ruscifolius,0
Leucopogon_setiger,0
Leucopogon_strictus,0
Leucopogon_virgatus,0
Leucothoe_davisiae,1
Leucothoe_fontanesiana,1
Leucothoe_keiskei,0
Lissanthe_brevistyla,0
Lissanthe_rubicunda,0
Lissanthe_sapida,0
Lissanthe_strigosa,0
Lyonia_ferruginea,0
Lyonia_ligustrina,0
Lyonia_lucida,0
Lyonia_ovalifolia,1
Lysinema_ciliatum,0
Macleania_cordifolia,1
Macleania_insignis,1
Macleania_rupestris,1
